datetime,signal,indicadores
2025-05-02 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-05 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-05 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-05 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-05 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-05 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-05 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-05 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-06 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-06 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-06 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-06 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-06 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-06 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-06 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-07 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-07 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-07 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-07 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-07 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-07 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-07 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-08 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-08 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-08 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-08 16:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-08 17:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-08 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-08 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-09 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-09 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-09 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-09 16:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-09 17:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-09 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-09 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-12 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-12 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-12 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-12 16:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-12 17:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-12 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-12 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-13 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-13 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-13 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-13 16:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-13 17:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-13 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-13 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-14 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-14 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-14 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-14 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-14 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-14 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-14 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-15 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-15 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
